,Name of movie,Year of release,Watchtime,Movie Rating,Metascore,Votes,Gross collection,Description
117,Shershaah,2021,135,8.8,92,"1,728,637",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
118,Fight Club,1999,139,8.8,82,"1,901,775",$330.25M,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
119,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,90,"716,763",$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
120,Forrest Gump,1994,142,8.8,87,"1,543,603",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
121,"The Good, the Bad and the Ugly",1966,178,8.8,73,"1,752,637",$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
122,The Lord of the Rings: The Two Towers,2002,179,8.7,90,"1,068,160",$46.84M,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
123,The Matrix,1999,136,8.7,82,"1,203,524",$290.48M,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
124,Goodfellas,1990,146,8.7,84,"952,827",$112.00M,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
125,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,96,"656,889",$53.37M,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
126,One Flew Over the Cuckoo's Nest,1975,133,8.7,#####,"30,600",*****,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
127,Parasite,2019,132,8.6,74,"1,611,310",$188.02M,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
128,Drishyam 2,2021,152,8.6,79,"721,114",$7.56M,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
129,Interstellar,2014,169,8.6,96,"692,157",$10.06M,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
130,City of God,2002,130,8.6,91,"1,290,084",$216.54M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
131,Spirited Away,2001,125,8.6,61,"1,201,609",$136.80M,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
132,Saving Private Ryan,1998,169,8.6,59,"651,072",$57.60M,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
133,The Green Mile,1999,189,8.6,65,"1,514,011",$100.13M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
134,Life Is Beautiful,1997,116,8.6,85,"1,329,659",$130.74M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
135,Se7en,1995,127,8.6,90,"1,275,371",$322.74M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
136,The Silence of the Lambs,1991,118,8.6,85,"48,837",*****,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
137,Star Wars: Episode IV - A New Hope,1977,121,8.6,98,"328,479",$0.27M,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
138,Hara-Kiri,1962,133,8.6,89,"421,866",*****,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
139,Seven Samurai,1954,207,8.6,#####,"34,620",*****,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.
140,It's a Wonderful Life,1946,130,8.6,88,"761,768",$13.09M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
141,Raatchasan,2018,170,8.5,57,"795,483",$13.18M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
142,Whiplash,2014,106,8.5,66,"1,243,046",$53.09M,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
